185.2	12.6	0.3	216.2	-21.0	57.4	7.1	8.2	466.0	3.7	6.2	427.2	2.3	255.3	206.1	-1	888.3	0.1	1364.1
185.2	12.6	0.3	216.2	-21.0	57.4	7.1	8.2	466.0	3.7	6.2	427.2	2.3	255.3	206.1	-1	888.3	0.1	1364.1
185.2	12.6	0.3	216.2	-21.0	57.4	7.1	8.2	466.0	3.7	6.2	427.2	2.3	255.3	206.1	-1	888.3	0.1	1364.1
185.2	12.6	0.3	216.2	-21.0	57.4	7.1	8.2	466.0	3.7	6.2	427.2	2.3	255.3	206.1	-1	888.3	0.1	1364.1
185.2	12.6	0.3	216.2	-21.0	57.4	7.1	8.2	466.0	3.7	6.2	427.2	2.3	255.3	206.1	-1	888.3	0.1	1364.1
185.2	12.6	0.3	216.2	-21.0	57.4	7.1	8.2	466.0	3.7	6.2	427.2	2.3	255.3	206.1	-1	888.3	0.1	1364.1
128544.0	104865.9	4277.7	166538.4	28103.4	30171.3	9765.7	43362.6	515629.0	55612.3	127337.1	375635.9	62698.6	167578.2	136339.0	16348.7	758600.4	496.0	1457674.7
1119.5	22.1	0.2	812.4	108.1	774.1	5.8	34.7	2876.8	0.7	21.7	3550.1	2.0	1138.7	1760.8	2.2	6453.8	0.0	9353.0
4717.2	1791.9	49.1	4253.8	15483.8	5218.6	7.1	539.0	32060.4	2.6	1616.0	24015.4	10.4	1145.7	1286.7	2651.6	29109.7	185.1	62973.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1227.1	308.4	4.6	1128.7	-19.6	293.9	4.4	353.5	3301.1	2.5	619.7	1117.5	8.9	930.8	872.3	7.2	2936.6	0.7	6860.5
1115.4	292.2	4.6	1048.0	-2.5	244.0	4.2	309.6	3015.5	2.5	546.2	1034.5	8.7	855.5	799.1	6.2	2704.0	0.7	6268.9
124.3	8.4	0.7	45.9	-6.2	19.5	0.3	37.7	230.5	1.1	45.4	198.7	0.3	97.8	73.1	0.9	370.8	0.0	647.8
124.3	8.4	0.7	45.9	-6.2	19.5	0.3	37.7	230.5	1.1	45.4	198.7	0.3	97.8	73.1	0.9	370.8	0.0	647.8
991.2	283.8	3.9	1002.1	3.7	224.6	3.9	271.9	2785.0	1.4	500.8	835.7	8.5	757.7	726.0	5.3	2333.2	0.7	5621.1
991.2	283.8	3.9	1002.1	3.7	224.6	3.9	271.9	2785.0	1.4	500.8	835.7	8.5	757.7	726.0	5.3	2333.2	0.7	5621.1
111.6	16.3	0.0	80.8	-17.1	49.9	0.2	43.9	285.5	0.0	73.4	83.0	0.2	75.3	73.2	1.0	232.7	0.0	591.6
-1	-1	-1	8.7	-1	-1.9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	8.7	-1	-1.9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3.3	1.2	0.0	9.9	1.4	2.5	0.0	0.1	18.3	0.0	0.6	7.9	0.0	9.9	4.9	0.0	22.7	0.0	41.6
